id,name,code,account_type,reconcile,tax_ids,name@es
account_account_template_0_102_02_01,Transferencias bancarias moneda extranjera,102.02.01,asset_current,1,,Transferencias bancarias moneda extranjera
account_account_template_0_105_01_01,Clientes nacionales,105.01.01,asset_receivable,1,,Clientes nacionales
account_account_template_0_105_01_02,Clientes nacionales (PoS),105.01.02,asset_receivable,1,,Clientes nacionales (PoS)
account_account_template_0_107_05_01,Mercancías Enviadas - No Facturas,107.05.01,asset_current,1,,Mercancías Enviadas - No Facturas
account_account_template_0_108_01_01,Estimación de cuentas incobrables nacional,108.01.01,asset_current,1,,Estimación de cuentas incobrables nacional
account_account_template_0_108_02_01,Estimación de cuentas incobrables extranjero,108.02.01,asset_current,1,,Estimación de cuentas incobrables extranjero
account_account_template_0_115_01_01,Inventario,115.01.01,asset_current,0,,Inventario
account_account_template_0_115_02_01,Materia prima y materiales,115.02.01,asset_current,0,,Materia prima y materiales
account_account_template_0_115_03_01,Producción en proceso,115.03.01,asset_current,0,,Producción en proceso
account_account_template_0_115_04_01,Productos terminados,115.04.01,asset_current,0,,Productos terminados
account_account_template_0_115_05_01,Mercancías en tránsito,115.05.01,asset_current,1,,Mercancías en tránsito
account_account_template_0_115_06_01,Mercancías en poder de terceros,115.06.01,asset_current,0,,Mercancías en poder de terceros
account_account_template_0_118_01_01,IVA acreditable pagado,118.01.01,asset_current,0,,IVA acreditable pagado
account_account_template_0_119_01_01,IVA pendiente de pago,119.01.01,asset_current,1,,IVA pendiente de pago
account_account_template_0_120_01_01,Anticipo a proveedores nacional,120.01.01,asset_current,1,,Anticipo a proveedores nacional
account_account_template_0_120_02_01,Anticipo a proveedores extranjero,120.02.01,asset_current,1,,Anticipo a proveedores extranjero
account_account_template_0_201_00_01,Proveedores nacionales,201.01.01,liability_payable,1,,Proveedores nacionales
account_account_template_0_205_06_01,Mercancías Recibidas - No Facturas,205.06.01,liability_current,1,,Mercancías Recibidas - No Facturas
account_account_template_0_206_01_01,Anticipo de cliente nacional,206.01.01,liability_current,1,,Anticipo de cliente nacional
account_account_template_0_206_02_01,Anticipo de cliente extranjero,206.02.01,liability_current,1,,Anticipo de cliente extranjero
account_account_template_0_206_05_01,Otros anticipos de clientes,206.05.01,liability_current,1,,Otros anticipos de clientes
account_account_template_0_208_01_01,IVA trasladado cobrado,208.01.01,liability_current,0,,IVA trasladado cobrado
account_account_template_0_209_01_01,IVA trasladado no cobrado,209.01.01,liability_current,1,,IVA trasladado no cobrado
account_account_template_0_216_03_01,Impuestos retenidos de ISR por arrendamiento,216.03.01,liability_current,0,,Impuestos retenidos de ISR por arrendamiento
account_account_template_0_216_04_01,Impuestos retenidos de ISR por servicios profesionales,216.04.01,liability_current,0,,Impuestos retenidos de ISR por servicios profesionales
account_account_template_0_212_10_01,Impuestos retenidos de IVA,216.10.10,liability_current,0,,Impuestos retenidos de IVA
account_account_template_0_216_10_20,Impuestos retenidos de IVA efectivamente pagados,216.10.20,liability_current,0,,Impuestos retenidos de iva efectivamente pagados
account_account_template_0_302_01_01,Patrimonio,302.01.01,equity,0,,Patrimonio
account_account_template_0_304_01_01,Utilidad de ejercicios anteriores,304.01.01,equity,0,,Utilidad de ejercicios anteriores
account_account_template_0_305_01_01,Utilidad del ejercicio,305.01.01,equity,0,,Utilidad del ejercicio
account_account_template_0_410_00_01,Ventas y/o servicios gravados a la tasa general,401.01.01,income,0,,Ventas y/o servicios gravados a la tasa general
account_account_template_0_511_30_1,Costo de venta,501.01.01,expense_direct_cost,0,,Costo de venta
account_account_template_0_601_84_01,Otros gastos generales,601.84.01,expense,0,,Otros gastos generales
account_account_template_0_701_01_01,Pérdida cambiaria,701.01.01,expense,0,,Pérdida cambiaria
account_account_template_0_702_01_01,Utilidad cambiaria,702.01.01,income,0,,Utilidad cambiaria
account_account_template_0_811_01_01,Utilidad o pérdida fiscal en venta y/o baja de activo fijo,811.01.01,expense,0,,Utilidad o pérdida fiscal en venta y/o baja de activo fijo
account_account_template_0_899_01_99,Base Imponible de Impuestos en Base a Flujo de Efectivo,899.01.99,expense,0,,Base Imponible de Impuestos en Base a Flujo de Efectivo
