"id","code","name"
gtin_10000000,"10000000","Material Vivo Vegetal y Animal, Accesorios y Suministros"
gtin_10100000,"10100000","Animales vivos"
gtin_10101500,"10101500","Animales de granja"
gtin_10101501,"10101501","Gatos"
gtin_10101502,"10101502","Perros"
gtin_10101504,"10101504","Visón"
gtin_10101505,"10101505","Ratas"
gtin_10101506,"10101506","Caballos"
gtin_10101507,"10101507","Ovejas"
gtin_10101508,"10101508","Cabras"
gtin_10101509,"10101509","Asnos"
gtin_10101510,"10101510","Ratones"
gtin_10101511,"10101511","Cerdos"
gtin_10101512,"10101512","Conejos"
gtin_10101513,"10101513","Cobayas o conejillos de indias"
gtin_10101514,"10101514","Primates"
gtin_10101515,"10101515","Armadillos"
gtin_10101516,"10101516","Ganado vacuno"
gtin_10101517,"10101517","Camellos"
gtin_10101600,"10101600","Pájaros y aves de corral"
gtin_10101601,"10101601","Pollos vivos"
gtin_10101602,"10101602","Patos vivos"
gtin_10101603,"10101603","Pavos vivos"
gtin_10101604,"10101604","Gansos vivos"
gtin_10101605,"10101605","Faisanes vivos"
gtin_10101700,"10101700","Peces"
gtin_10101701,"10101701","Salmón vivos"
gtin_10101702,"10101702","Trucha viva"
gtin_10101703,"10101703","Tilapia viva"
gtin_10101704,"10101704","Carpa viva"
gtin_10101705,"10101705","Anguilas vivas"
gtin_10101800,"10101800","Mariscos e invertebrados acuáticos"
gtin_10101801,"10101801","Camarón vivo"
gtin_10101802,"10101802","Almejas vivas"
gtin_10101803,"10101803","Mejillones vivos"
gtin_10101804,"10101804","Ostras vivas"
gtin_10101805,"10101805","Cangrejos vivos"
gtin_10101806,"10101806","Abulones vivos"
gtin_10101807,"10101807","Pulpo vivo"
gtin_10101808,"10101808","Calamar vivo"
gtin_10101809,"10101809","Sanguijuelas "
gtin_10101900,"10101900","Insectos"
gtin_10101901,"10101901","Mariposas"
gtin_10101902,"10101902","Escarabajos"
gtin_10101903,"10101903","Abejas"
gtin_10101904,"10101904","Gusanos de seda"
gtin_10102000,"10102000","Animales salvajes"
gtin_10102001,"10102001","Elefantes"
gtin_10102002,"10102002","Zorros vivos"
gtin_10110000,"10110000","Productos para animales domésticos"
gtin_10111300,"10111300","Tratamientos para los animales domésticos y accesorios y equipo"
gtin_10111301,"10111301","Juguetes para mascotas"
gtin_10111302,"10111302","Productos para el aseo y cuidado de mascotas "
gtin_10111303,"10111303","Equipo para el manejo de desperdicios de las mascotas"
gtin_10111304,"10111304","Tazones o equipo para alimentación de mascotas"
gtin_10111305,"10111305","Tratamientos medicados para mascotas"
gtin_10111306,"10111306","Kits para el entrenamiento de mascotas domésticas"
gtin_10111307,"10111307","Cobijas para mascotas"
gtin_10120000,"10120000","Comida de animales"
gtin_10121500,"10121500","Pienso para ganado"
gtin_10121501,"10121501","Salvado de trigo puro"
gtin_10121502,"10121502","Avena para forraje"
gtin_10121503,"10121503","Maíz para forraje"
gtin_10121504,"10121504","Sorgo para forraje"
gtin_10121505,"10121505","Heno"
gtin_10121506,"10121506","Tortas oleaginosas"
gtin_10121507,"10121507","Forraje compuesto"
gtin_10121600,"10121600","Alimento para pájaros y aves de corral"
gtin_10121601,"10121601","Alimento vivo para aves"
gtin_10121602,"10121602","Alpiste"
gtin_10121603,"10121603","Pasa bocas o comida recreacional para aves"
gtin_10121604,"10121604","Alimento avícola"
gtin_10121700,"10121700","Alimento para peces"
gtin_10121701,"10121701","Salmuera fresca o congelada"
gtin_10121702,"10121702","Alimento granulado para peces"
gtin_10121703,"10121703","Alimento en hojuelas para peces"
gtin_10121800,"10121800","Alimento para perros y gatos"
gtin_10121801,"10121801","Comida seca para perros"
gtin_10121802,"10121802","Comida húmeda para perros "
gtin_10121803,"10121803","Leche para perros o gatos"
gtin_10121804,"10121804","Comida seca para gatos"
gtin_10121805,"10121805","Comida húmeda para gatos "
gtin_10121806,"10121806","Pasa bocas o comida recreacional para gatos o perros"
gtin_10121900,"10121900","Alimento para roedores"
